Date,Hour,Excluded,Total,Flights,Booths,AvgWtTime
6/11/2017,0500 - 0600,5,145,1,8,9
6/11/2017,0600 - 0700,9,268,1,13,18
6/11/2017,0800 - 0900,9,327,1,12,19
6/11/2017,0900 - 1000,34,950,4,17,30
6/11/2017,1000 - 1100,26,662,5,16,23
6/11/2017,1100 - 1200,19,515,3,17,16
6/11/2017,1200 - 1300,46,1133,5,27,11
6/11/2017,1300 - 1400,96,2556,12,32,15
6/11/2017,1400 - 1500,57,1486,7,31,11
6/11/2017,1500 - 1600,61,1642,7,22,16
6/11/2017,1600 - 1700,57,1593,8,28,15
6/11/2017,1700 - 1800,39,952,5,18,13
6/11/2017,1800 - 1900,88,2260,10,21,14
6/11/2017,1900 - 2000,39,1334,6,17,13
6/11/2017,2000 - 2100,7,225,1,15,10
6/11/2017,2200 - 2300,10,187,2,8,8
6/11/2017,2300 - 0000,6,155,2,9,10
6/12/2017,0000 - 0100,9,240,2,9,11
6/12/2017,0400 - 0500,5,117,1,5,4
6/12/2017,0600 - 0700,3,132,1,12,5
6/12/2017,0700 - 0800,11,322,1,13,22
6/12/2017,0800 - 0900,12,238,1,10,9
6/12/2017,0900 - 1000,20,699,3,13,22
6/12/2017,1000 - 1100,28,778,6,14,27
6/12/2017,1100 - 1200,14,338,2,17,17
6/12/2017,1200 - 1300,32,870,5,17,12
6/12/2017,1300 - 1400,74,2239,11,25,14
6/12/2017,1400 - 1500,84,2189,10,31,19
6/12/2017,1500 - 1600,34,1123,5,22,19
6/12/2017,1600 - 1700,49,1475,8,31,16
6/12/2017,1700 - 1800,49,1437,7,26,15
6/12/2017,1800 - 1900,76,2035,10,25,15
6/12/2017,1900 - 2000,39,1146,5,23,19
6/12/2017,2000 - 2100,10,201,1,6,8
6/12/2017,2200 - 2300,5,140,1,7,9
6/13/2017,0000 - 0100,12,344,3,9,13
6/13/2017,0400 - 0500,3,134,1,6,3
6/13/2017,0600 - 0700,4,139,1,10,7
6/13/2017,0700 - 0800,14,280,1,12,31
6/13/2017,0800 - 0900,8,244,1,11,8
6/13/2017,0900 - 1000,19,498,3,12,9
6/13/2017,1000 - 1100,22,598,4,14,22
6/13/2017,1100 - 1200,20,607,3,11,6
6/13/2017,1200 - 1300,52,597,3,27,10
6/13/2017,1300 - 1400,91,2068,12,30,13
6/13/2017,1400 - 1500,77,1660,9,25,16
6/13/2017,1500 - 1600,60,1282,7,25,11
6/13/2017,1600 - 1700,39,932,6,25,12
6/13/2017,1700 - 1800,74,1754,10,25,18
6/13/2017,1800 - 1900,53,1237,7,19,23
6/13/2017,1900 - 2000,35,1004,4,19,14
6/13/2017,2000 - 2100,8,183,1,7,27
6/13/2017,2300 - 0000,11,203,2,7,14
6/14/2017,0000 - 0100,9,367,3,9,9
6/14/2017,0500 - 0600,4,126,1,5,5
6/14/2017,0600 - 0700,20,461,2,11,20
6/14/2017,0800 - 0900,15,435,2,6,10
6/14/2017,0900 - 1000,24,734,4,12,15
6/14/2017,1000 - 1100,6,171,2,9,18
6/14/2017,1100 - 1200,13,495,3,13,10
6/14/2017,1200 - 1300,114,1911,11,28,14
6/14/2017,1300 - 1400,52,1460,7,31,21
6/14/2017,1400 - 1500,98,2214,10,29,19
6/14/2017,1500 - 1600,26,783,5,26,13
6/14/2017,1600 - 1700,17,173,2,22,6
6/14/2017,1700 - 1800,10,228,1,13,7
6/14/2017,1800 - 1900,275,1441,8,20,12
6/14/2017,1900 - 2000,77,1993,9,25,19
6/14/2017,2000 - 2100,21,603,3,17,20
6/14/2017,2100 - 2200,18,398,3,21,9
6/14/2017,2200 - 2300,33,561,2,22,12
6/14/2017,2300 - 0000,9,157,1,9,27
6/15/2017,0000 - 0100,6,109,1,9,12
6/15/2017,0100 - 0200,5,87,1,8,10
6/15/2017,0200 - 0300,5,124,1,6,9
6/15/2017,0400 - 0500,5,246,2,7,8
6/15/2017,0600 - 0700,25,587,2,11,30
6/15/2017,0800 - 0900,15,462,2,12,6
6/15/2017,0900 - 1000,16,429,3,11,10
6/15/2017,1000 - 1100,22,560,3,10,10
6/15/2017,1100 - 1200,14,461,3,19,19
6/15/2017,1200 - 1300,42,706,4,24,8
6/15/2017,1300 - 1400,135,2610,12,23,23
6/15/2017,1400 - 1500,57,1533,7,24,16
6/15/2017,1500 - 1600,70,1765,7,18,24
6/15/2017,1600 - 1700,71,1960,11,21,26
6/15/2017,1700 - 1800,54,1189,6,19,18
6/15/2017,1800 - 1900,40,1007,5,17,27
6/15/2017,1900 - 2000,46,1344,6,24,32
6/15/2017,2000 - 2100,23,720,4,18,23
6/15/2017,2300 - 0000,12,224,2,8,13
6/16/2017,0000 - 0100,18,362,3,10,21
6/16/2017,0400 - 0500,4,140,1,7,12
6/16/2017,0500 - 0600,6,144,1,7,4
6/16/2017,0600 - 0700,5,261,1,12,9
6/16/2017,0700 - 0800,13,335,1,13,26
6/16/2017,0800 - 0900,14,382,2,9,8
6/16/2017,0900 - 1000,8,246,1,14,14
6/16/2017,1000 - 1100,48,1075,7,16,20
6/16/2017,1100 - 1200,5,143,1,15,28
6/16/2017,1200 - 1300,56,1329,7,25,23
6/16/2017,1300 - 1400,96,2114,11,32,44
6/16/2017,1400 - 1500,73,1768,9,24,28
6/16/2017,1500 - 1600,62,1517,6,26,30
6/16/2017,1600 - 1700,68,1719,9,22,18
6/16/2017,1700 - 1800,47,1244,6,22,15
6/16/2017,1800 - 1900,34,672,4,13,19
6/16/2017,1900 - 2000,83,2141,8,22,28
6/16/2017,2000 - 2100,18,383,3,19,30
6/16/2017,2300 - 0000,6,144,1,11,8
6/17/2017,0000 - 0100,16,426,3,8,19
6/17/2017,0100 - 0200,6,172,1,10,10
6/17/2017,0400 - 0500,6,138,1,5,34
6/17/2017,0500 - 0600,4,124,1,8,4
6/17/2017,0600 - 0700,6,183,1,11,13
6/17/2017,0700 - 0800,12,337,1,13,24
6/17/2017,0900 - 1000,11,431,2,13,15
6/17/2017,1000 - 1100,48,1107,6,15,20
6/17/2017,1100 - 1200,23,542,3,21,23
6/17/2017,1200 - 1300,27,763,4,23,15
6/17/2017,1300 - 1400,95,2338,11,30,14
6/17/2017,1400 - 1500,110,3138,14,30,22
6/17/2017,1500 - 1600,48,1174,5,22,10
6/17/2017,1600 - 1700,67,1820,9,27,24
6/17/2017,1700 - 1800,32,881,6,11,12
6/17/2017,1800 - 1900,85,2250,11,25,12
6/17/2017,1900 - 2000,73,1864,9,21,17
6/17/2017,2000 - 2100,29,792,4,16,12
6/17/2017,2200 - 2300,6,134,1,9,36
6/17/2017,2300 - 0000,6,185,1,8,11
6/18/2017,0000 - 0100,9,265,2,9,10
6/18/2017,0100 - 0200,5,154,1,9,9
6/18/2017,0400 - 0500,5,145,1,6,5
6/18/2017,0500 - 0600,6,148,1,8,8
6/18/2017,0600 - 0700,10,332,1,14,16
6/18/2017,0700 - 0800,7,224,1,14,16
6/18/2017,0800 - 0900,8,244,1,13,7
6/18/2017,0900 - 1000,6,186,1,16,15
6/18/2017,1000 - 1100,46,1119,6,21,20
6/18/2017,1100 - 1200,20,507,3,16,16
6/18/2017,1200 - 1300,58,1522,7,32,15
6/18/2017,1300 - 1400,64,1509,7,29,11
6/18/2017,1400 - 1500,68,1754,8,25,11
6/18/2017,1500 - 1600,92,2248,10,33,16
6/18/2017,1600 - 1700,80,1800,9,23,20
6/18/2017,1700 - 1800,45,1042,5,19,13
6/18/2017,1800 - 1900,73,1861,10,18,12
6/18/2017,1900 - 2000,74,1867,7,24,22
6/18/2017,2000 - 2100,19,478,2,17,14
6/18/2017,2200 - 2300,4,134,1,11,5
6/19/2017,0000 - 0100,12,399,3,10,4
6/19/2017,0400 - 0500,11,243,2,8,13
6/19/2017,0600 - 0700,10,327,1,14,19
6/19/2017,0700 - 0800,7,187,1,13,18
6/19/2017,0800 - 0900,17,481,2,12,10
6/19/2017,0900 - 1000,13,408,2,16,23
6/19/2017,1000 - 1100,39,749,5,18,40
6/19/2017,1100 - 1200,10,179,1,13,23
6/19/2017,1200 - 1300,32,1035,6,25,14
6/19/2017,1300 - 1400,71,2083,9,33,11
6/19/2017,1400 - 1500,84,1775,8,30,18
6/19/2017,1500 - 1600,71,1990,8,28,20
6/19/2017,1600 - 1700,37,1022,5,29,16
6/19/2017,1700 - 1800,45,1114,7,18,9
6/19/2017,1800 - 1900,61,1766,8,23,11
6/19/2017,1900 - 2000,69,1843,8,18,30
6/19/2017,2000 - 2100,12,451,2,16,39
6/19/2017,2100 - 2200,14,461,2,12,19
6/19/2017,2300 - 0000,7,123,1,9,8
6/20/2017,0000 - 0100,10,249,2,9,4
6/20/2017,0400 - 0500,18,393,3,8,11
6/20/2017,0600 - 0700,5,137,1,8,10
6/20/2017,0900 - 1000,33,946,4,15,40
6/20/2017,1000 - 1100,28,715,4,18,34
6/20/2017,1100 - 1200,9,262,2,14,18
6/20/2017,1200 - 1300,24,743,4,26,12
6/20/2017,1300 - 1400,62,1828,10,30,10
6/20/2017,1400 - 1500,53,1570,7,26,12
6/20/2017,1500 - 1600,74,2164,10,23,25
6/20/2017,1600 - 1700,54,1386,7,16,17
6/20/2017,1700 - 1800,42,1198,6,20,16
6/20/2017,1800 - 1900,69,1426,7,22,14
6/20/2017,1900 - 2000,52,1380,6,20,12
6/20/2017,2000 - 2100,24,607,3,16,13
6/20/2017,2100 - 2200,14,288,1,12,8
6/20/2017,2200 - 2300,6,110,1,10,8
6/21/2017,0000 - 0100,14,362,3,9,21
6/21/2017,0400 - 0500,5,143,1,3,13
6/21/2017,0500 - 0600,3,95,1,6,9
6/21/2017,0600 - 0700,15,484,2,15,17
6/21/2017,0800 - 0900,5,212,1,14,7
6/21/2017,0900 - 1000,25,814,4,18,19
6/21/2017,1000 - 1100,13,438,3,14,6
6/21/2017,1100 - 1200,11,306,2,13,6
6/21/2017,1200 - 1300,19,560,4,23,11
6/21/2017,1300 - 1400,68,2000,10,32,11
6/21/2017,1400 - 1500,132,2715,12,26,18
6/21/2017,1500 - 1600,54,1596,6,31,24
6/21/2017,1600 - 1700,57,1318,8,27,19
6/21/2017,1700 - 1800,39,908,5,24,22
6/21/2017,1800 - 1900,59,1388,7,24,12
6/21/2017,1900 - 2000,38,1072,4,21,7
6/21/2017,2000 - 2100,32,965,4,21,16
6/21/2017,2200 - 2300,18,518,3,11,14
6/21/2017,2300 - 0000,3,143,1,8,8
6/22/2017,0000 - 0100,10,242,2,6,15
6/22/2017,0400 - 0500,5,137,1,8,5
6/22/2017,0500 - 0600,3,131,1,9,12
6/22/2017,0600 - 0700,14,480,2,10,24
6/22/2017,0900 - 1000,13,497,3,11,12
6/22/2017,1000 - 1100,46,994,5,13,18
6/22/2017,1100 - 1200,15,318,2,17,13
6/22/2017,1200 - 1300,74,1184,7,23,12
6/22/2017,1300 - 1400,57,1779,9,28,10
6/22/2017,1400 - 1500,144,2256,10,32,22
6/22/2017,1500 - 1600,79,2058,9,22,22
6/22/2017,1600 - 1700,56,1566,8,23,14
6/22/2017,1700 - 1800,45,919,5,17,16
6/22/2017,1800 - 1900,60,1307,6,22,20
6/22/2017,1900 - 2000,49,1382,6,22,12
6/22/2017,2000 - 2100,30,866,4,17,12
6/22/2017,2200 - 2300,4,135,1,9,5
6/22/2017,2300 - 0000,17,320,2,7,17
6/23/2017,0000 - 0100,13,244,2,7,28
6/23/2017,0500 - 0600,10,238,2,7,11
6/23/2017,0600 - 0700,18,564,2,15,22
6/23/2017,0800 - 0900,13,394,2,12,9
6/23/2017,0900 - 1000,12,324,2,15,11
6/23/2017,1000 - 1100,40,950,5,17,11
6/23/2017,1100 - 1200,10,182,1,16,12
6/23/2017,1200 - 1300,50,1394,8,30,10
6/23/2017,1300 - 1400,76,1706,8,31,13
6/23/2017,1400 - 1500,118,2768,12,26,18
6/23/2017,1500 - 1600,52,1490,7,28,15
6/23/2017,1600 - 1700,49,1596,7,26,9
6/23/2017,1700 - 1800,24,601,3,22,13
6/23/2017,1800 - 1900,50,1325,6,21,10
6/23/2017,1900 - 2000,73,1902,7,23,14
6/23/2017,2000 - 2100,31,941,5,20,13
6/23/2017,2200 - 2300,5,143,1,7,7
6/23/2017,2300 - 0000,7,153,1,8,11
6/24/2017,0000 - 0100,8,267,2,8,15
6/24/2017,0500 - 0600,8,267,2,7,6
6/24/2017,0600 - 0700,12,335,1,13,26
6/24/2017,0700 - 0800,8,262,1,12,21
6/24/2017,0800 - 0900,13,417,2,11,11
6/24/2017,0900 - 1000,15,461,2,13,18
6/24/2017,1000 - 1100,39,886,5,12,22
6/24/2017,1100 - 1200,14,346,2,19,13
6/24/2017,1200 - 1300,47,1325,7,28,15
6/24/2017,1300 - 1400,114,2865,13,29,15
6/24/2017,1400 - 1500,87,2160,9,31,19
6/24/2017,1500 - 1600,68,1790,8,26,11
6/24/2017,1600 - 1700,60,1415,8,23,12
6/24/2017,1700 - 1800,49,1381,8,18,13
6/24/2017,1800 - 1900,97,2683,12,21,11
6/24/2017,1900 - 2000,58,1546,7,17,14
6/24/2017,2000 - 2100,17,439,2,18,19
6/24/2017,2200 - 2300,4,135,1,5,7
6/24/2017,2300 - 0000,10,327,2,8,11
6/25/2017,0000 - 0100,10,333,2,8,10
6/25/2017,0400 - 0500,4,134,1,4,7
6/25/2017,0500 - 0600,4,131,1,9,9
6/25/2017,0600 - 0700,5,269,1,13,14
6/25/2017,0800 - 0900,28,804,3,11,24
6/25/2017,0900 - 1000,27,704,4,14,49
6/25/2017,1000 - 1100,26,573,3,13,23
6/25/2017,1100 - 1200,34,715,4,24,18
6/25/2017,1200 - 1300,34,1107,5,26,14
6/25/2017,1300 - 1400,84,2505,11,28,15
6/25/2017,1400 - 1500,80,2036,9,24,16
6/25/2017,1500 - 1600,22,539,3,25,8
6/25/2017,1600 - 1700,72,1975,9,31,14
6/25/2017,1700 - 1800,77,2331,11,32,11
6/25/2017,1800 - 1900,57,1540,6,25,13
6/25/2017,1900 - 2000,43,1385,6,30,14
6/25/2017,2000 - 2100,6,170,1,12,2
6/25/2017,2300 - 0000,8,147,1,12,7
6/26/2017,0000 - 0100,9,292,2,10,7
6/26/2017,0100 - 0200,7,157,1,8,4
6/26/2017,0400 - 0500,4,130,1,3,4
6/26/2017,0500 - 0600,4,101,1,7,9
6/26/2017,0600 - 0700,9,310,1,12,49
6/26/2017,0800 - 0900,23,715,3,11,33
6/26/2017,0900 - 1000,15,440,2,14,42
6/26/2017,1000 - 1100,40,932,6,21,44
6/26/2017,1100 - 1200,6,260,1,22,15
6/26/2017,1200 - 1300,34,953,5,24,25
6/26/2017,1300 - 1400,107,2873,12,28,27
6/26/2017,1400 - 1500,68,1896,9,28,53
6/26/2017,1500 - 1600,77,2152,8,26,63
6/26/2017,1600 - 1700,34,546,4,9,19
6/26/2017,1700 - 1800,111,1767,9,32,40
6/26/2017,1800 - 1900,89,1934,9,21,30
6/26/2017,1900 - 2000,29,801,5,25,34
6/26/2017,2000 - 2100,32,907,3,27,39
6/26/2017,2300 - 0000,5,147,1,9,8
6/27/2017,0000 - 0100,15,415,3,8,9
6/27/2017,0400 - 0500,3,139,1,8,4
6/27/2017,0500 - 0600,4,157,1,8,6
6/27/2017,0600 - 0700,9,318,1,11,28
6/27/2017,0700 - 0800,9,267,1,11,44
6/27/2017,0800 - 0900,14,467,2,10,11
6/27/2017,0900 - 1000,32,844,4,14,32
6/27/2017,1000 - 1100,15,308,3,12,20
6/27/2017,1100 - 1200,24,424,2,16,10
6/27/2017,1200 - 1300,55,1590,8,24,16
6/27/2017,1300 - 1400,87,2139,11,30,16
6/27/2017,1400 - 1500,64,1698,7,30,13
6/27/2017,1500 - 1600,50,1584,6,32,11
6/27/2017,1600 - 1700,40,1085,6,32,21
6/27/2017,1700 - 1800,63,1704,8,29,13
6/27/2017,1800 - 1900,54,1518,7,25,15
6/27/2017,1900 - 2000,42,1128,5,24,10
6/27/2017,2000 - 2100,10,333,2,16,6
6/27/2017,2200 - 2300,7,154,1,10,10
6/27/2017,2300 - 0000,3,197,1,11,9
6/28/2017,0000 - 0100,13,284,2,12,10
6/28/2017,0100 - 0200,3,183,1,8,10
6/28/2017,0500 - 0600,14,299,2,6,9
6/28/2017,0600 - 0700,17,576,2,11,24
6/28/2017,0800 - 0900,7,243,1,7,8
6/28/2017,0900 - 1000,42,916,4,14,23
6/28/2017,1000 - 1100,16,661,4,15,29
6/28/2017,1100 - 1200,8,253,1,17,16
6/28/2017,1200 - 1300,45,1247,6,19,14
6/28/2017,1300 - 1400,91,2353,11,27,26
6/28/2017,1400 - 1500,84,2459,10,29,32
6/28/2017,1500 - 1600,64,1886,8,31,41
6/28/2017,1600 - 1700,27,860,4,25,33
6/28/2017,1700 - 1800,86,2016,10,25,35
6/28/2017,1800 - 1900,34,966,6,22,20
6/28/2017,1900 - 2000,47,1258,5,19,25
6/28/2017,2000 - 2100,19,596,2,14,13
6/28/2017,2300 - 0000,14,305,2,10,11
6/29/2017,0000 - 0100,6,167,2,11,22
6/29/2017,0100 - 0200,14,307,2,11,20
6/29/2017,0400 - 0500,4,141,1,6,4
6/29/2017,0500 - 0600,4,154,1,6,8
6/29/2017,0600 - 0700,9,268,1,10,16
6/29/2017,0800 - 0900,22,564,2,11,51
6/29/2017,0900 - 1000,56,1307,6,16,38
6/29/2017,1000 - 1100,12,264,2,12,26
6/29/2017,1100 - 1200,5,174,1,13,35
6/29/2017,1200 - 1300,61,1413,7,23,23
6/29/2017,1300 - 1400,101,2374,11,26,33
6/29/2017,1400 - 1500,115,2986,12,27,46
6/29/2017,1500 - 1600,51,1327,5,31,47
6/29/2017,1600 - 1700,48,1184,7,26,32
6/29/2017,1700 - 1800,58,1242,6,28,30
6/29/2017,1800 - 1900,85,2064,9,22,18
6/29/2017,1900 - 2000,29,977,4,20,18
6/29/2017,2100 - 2200,10,292,1,13,14
6/29/2017,2200 - 2300,7,223,1,9,8
6/29/2017,2300 - 0000,11,225,1,11,13
6/30/2017,0000 - 0100,17,460,3,11,20
6/30/2017,0100 - 0200,8,141,1,8,11
6/30/2017,0400 - 0500,6,148,1,6,4
6/30/2017,0600 - 0700,9,425,2,11,9
6/30/2017,0700 - 0800,12,320,1,12,25
6/30/2017,0800 - 0900,5,230,1,11,16
6/30/2017,0900 - 1000,32,797,4,13,20
6/30/2017,1000 - 1100,43,968,5,13,22
6/30/2017,1100 - 1200,14,445,2,17,11
6/30/2017,1200 - 1300,28,676,3,36,12
6/30/2017,1300 - 1400,133,3221,14,33,15
6/30/2017,1400 - 1500,71,1815,7,33,27
6/30/2017,1500 - 1600,61,1825,7,30,34
6/30/2017,1600 - 1700,53,1266,8,24,22
6/30/2017,1700 - 1800,42,1324,7,28,11
6/30/2017,1800 - 1900,38,1152,5,26,13
6/30/2017,1900 - 2000,62,1798,7,24,18
6/30/2017,2000 - 2100,27,717,3,12,16
6/30/2017,2100 - 2200,7,285,1,12,22
6/30/2017,2200 - 2300,8,175,1,12,11
6/30/2017,2300 - 0000,7,319,2,12,12
